Organization Name,Organization Name URL,Industries,City,State,Country,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Founders,Number of Founders,Number of Employees,Number of Exits,Number of Lead Investments,Funding Status,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Number of Acquisitions,Acquisition Status,Delisted Date,Delisted Date Precision,Number of Investors,Number of Lead Investors,Number of Investments,Operating Status,Full Description,Hub Tags,Number of Articles,Investor Type,Investment Stage,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Number of Alumni,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,Transaction Name,Transaction Name URL,IPO Status,SimilarWeb - Monthly Visits,SimilarWeb - Bounce Rate,SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Bounce Rate Growth,Stock Symbol,Stock Symbol URL,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),IPO Date,Top 5 Investors,Number of Founders (Alumni),School Method,Number of Enrollments,School Program,School Type,Number of Portfolio Organizations,Number of Exits (IPO),Description,Company Type,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Siftery - Total Products Active,Number of Events,Twitter,Website,Facebook,LinkedIn,Contact Email,Headquarters Regions,FS_COUNTRY_CODE,FactSet_ID,FS_NAME,CB_IPO_DATE,CB_IPO_DATE_+6M ,FS_IPO_DATE,IPO_DATE_TRUE,IPO_DATE_TRUE+6M,FS_Historical_Ticker,IPO_RETURN_TRUE_DATE,IPO_CLASS,LIFETIME_RETURN,LIFETURN_CLASS
Boardwalktech,https://www.crunchbase.com/organization/boardwalktech,"Blockchain, Data Visualization, Enterprise Applications, Enterprise Software",Palo Alto,California,United States,$1M to $10M,2004-01-01,year,2018-06-13,day,,,5014778.0,USD,5014778.0,7.0,"Dharmesh Dadbhawala, Ravi Krishnan, Sarang Kulkarni",3,51-100,,,IPO,,,,Post-IPO Equity,4714778.0,USD,4714778.0,,,,,6.0,2.0,,Active,"Boardwalktech was the first company to develop a now patented positional cell data management technology. We were also the first company to deliver a digital ledger database designed specifically for collaborative, multi-party enterprise applications-- both disruptive offerings in the market. Our vision is to provide digital ledger Blockchain technology and products for the extended enterprise which our customers can use to run mission critical applications managing the digital information exchange internally and with customers, channels, and suppliers. We’re well on our way—today, we have companies of all sizes in all industries running mission critical processes managing billions of cells of data as part of their digital information exchange with thousands of trading partners. Boardwalktech is based in Cupertino, California and is privately held.",,7,,,,,,,Post-IPO Equity,,,,2019-02-25,,,,,,,,,,,,Public,906,66.55%,153.16%,17,168.11%,-4.38%,BWLK,https://www.crunchbase.com/ipo/boardwalktech-ipo--d25bf4da,TSX - Toronto Stock Exchange,,,,,,,2018-06-13,"Plug and Play, Flow Capital, Morado Ventures, Signatures Capital, Saeed Amidi",,,,,,,,Boardwalktech provides patented digital ledger technology for Blockchain applications,,1,0,Computing; Calculating,,16.0,2.0,http://twitter.com/boardwalktech,http://www.boardwalktech.com,http://www.facebook.com/pages/Boardwalktech-Inc/88678777909,http://www.linkedin.com/company/138436,info@boardwalktech.com,"San Francisco Bay Area, Silicon Valley, West Coast",CA,BWLK-CA,Boardwalktech Software Corp.,2018-06-15,2018-12-10,2018-06-11,2018-06-15,2018-12-12,BWLK-TSX,-0.893514,0.0,-0.9012585,0.0
Boingo Wireless,https://www.crunchbase.com/organization/boingo-wireless,"Software, Telecommunications, Wireless",Los Angeles,California,United States,$50M to $100M,2001-01-01,year,2011-05-04,day,,,140000000.0,USD,140000000.0,4.0,Sky Dayton,1,501-1000,,,IPO,65000000.0,USD,65000000.0,Series C,90000000.0,USD,90000000.0,3.0,Made Acquisitions,,,8.0,1.0,,Active,"Boingo Wireless, Inc. (NASDAQ: WIFI), the world's leading Wi-Fi software and services provider, makes it easy, convenient and cost-effective for people to enjoy Wi-Fi access on their laptop or mobile device at more than 325,000 hotspots worldwide. With a single account, Boingo users can access the mobile Internet via Boingo Network locations that include the top airports around the world, major hotel chains, cafÃ©s and coffee shops, restaurants, convention centers and metropolitan hot zones. Boingo and its Concourse Communications Group subsidiary operate wired and wireless networks at large-scale venues worldwide such as airports, major sporting arenas, malls, and convention centers, as well as quick serve restaurants. For more information about Boingo, please visit http://www.boingo.com.",,375,,,,,,,Post-IPO Debt,50000000.0,USD,50000000.0,2014-12-01,,,,,,,,,,,,Public,"461,287",58.7%,6.1%,291,-16.2%,1.02%,WIFI,https://www.crunchbase.com/ipo/boingo-wireless-ipo--d883b6fc,NASDAQ,439129310.0,USD,439129310.0,77895000.0,USD,77895000.0,2011-05-04,"New Enterprise Associates, Silicon Valley Bank, Bank of America Merrill Lynch, Evercore Partners, Mitsui Global Investment",,,,,,,,Boingo Wireless is a company providing mobile internet through Wi-Fi networks globally.,,8,17,Electric Communication Technique,Scientific and electric apparatus and instruments,52.0,2.0,http://twitter.com/boingo,http://www.boingo.com,http://www.facebook.com/boingo,http://www.linkedin.com/company/boingo-wireless,info@boingo.com,"Greater Los Angeles Area, West Coast, Western US",US,WIFI-US,"Boingo Wireless, Inc.",2011-05-06,2011-10-31,2011-05-04,2011-05-06,2011-11-02,WIFI-NAS,-0.37603306000000003,0.0,0.13057852,1.0
Boku,https://www.crunchbase.com/organization/boku,"E-Commerce, Mobile, Mobile Payments",San Francisco,California,United States,$10M to $50M,2008-01-01,year,2017-11-20,day,,,86750000.0,USD,86750000.0,9.0,"Erich Ringewald, Mark Britto, Ron Hirson",3,51-100,,,IPO,,,,Post-IPO Equity,86750000.0,USD,86750000.0,6.0,Made Acquisitions,,,18.0,4.0,,Active,"Boku Identity is the industry's end-to-end identity verification solution. By combining identity verification and authentication capabilities with the Boku Platform, which aggregates and harmonizes mobile network operator systems across 58 countries worldwide, Boku Identity helps global enterprises across multiple industries effectively reduce identity fraud, drive conversions, ensure compliance, and deliver a superior customer experience. Boku Identity’s privacy-by-design and tokenized identity architecture enables these businesses to onboard and service their customers worldwide while maintaining security and preserving user privacy.",,18,,,,,,,Post-IPO Equity,,,,2019-07-01,,,,,,,,,,,,Public,"377,261",40.68%,-12.63%,139,-21.45%,4.81%,BOKU,https://www.crunchbase.com/ipo/boku-ipo--9719551d,LSE - London Stock Exchange,125900000.0,GBP,166729350.0,45000000.0,GBP,59593492.0,2017-11-20,"Telefonica, Andreessen Horowitz, Khosla Ventures, New Enterprise Associates, Index Ventures",,,,,,,,Boku is a global mobile payments network providing mobile-enhanced payments in e-commerce and at physical point-of-sale.,For Profit,67,10,Computing; Calculating,Insurance; financial affairs,21.0,4.0,https://twitter.com/bokupaybymobile,https://www.boku.com/,https://www.facebook.com/bokucom-131960520871645/,https://www.linkedin.com/company/boku-inc/,info@boku.com,"San Francisco Bay Area, West Coast, Western US",GB,BOKU-GB,"BOKU, Inc.",2017-11-22,2018-05-19,2017-11-20,2017-11-22,2018-05-21,BOKU-LON,0.22699392,1.0,-0.07975459,0.0
Bone Therapeutics,https://www.crunchbase.com/organization/bone-therapeutics,"Biotechnology, Health Care, Health Diagnostics",Gosselies,Hainaut,Belgium,Less than $1M,2006-01-01,year,2015-02-13,day,,,38250000.0,EUR,47348149.0,5.0,Enrico Bastianelli,1,51-100,,,IPO,7700000.0,EUR,10356714.0,Series D,7700000.0,EUR,10356714.0,,,,,3.0,,,Active,"Bone Therapeutics is a leading international biopharmaceutical company focused on innovative cell therapy products for the treatment of bone diseases. Utilizing the Company's unique knowledge of the bone/joint physiology and long-standing expertise in cell therapy and cell transplantation, Bone Therapeutics has created a fully integrated business with an advanced product pipeline comprising novel bone cell products, tailored in-house production methods, and minimally invasive treatment techniques.",,6,,,,,,,Post-IPO Debt,19450000.0,EUR,23959398.0,2018-03-03,,,,,,,,,,,,Public,,,,,,,BOTHE,https://www.crunchbase.com/ipo/bone-therapeutics-ipo--6bf9d6cb,EBR - Euronext Brussels,,,,,,,2015-02-13,"Nausicaa Ventures, BAMS Angel Fund, Life Sciences Research Partners V.Z.W.",,,,,,,,Bone Therapeutics is a biopharmaceutical company developing cell therapy products for the treatment of osteo-articular diseases.,For Profit,9,17,Medical Or Veterinary Science; Hygiene,"Pharmaceutical, veterinary and sanitary products",2.0,,http://twitter.com/BoneTherapeutic,http://www.bonetherapeutics.eu,https://www.facebook.com/bonetherapeutics,https://www.linkedin.com/company/bone-therapeutics-s-a-,info@bonetherapeutics.com,European Union (EU),BE,BOTHE-BE,Bone Therapeutics SA,2015-02-15,2015-08-12,2015-02-03,2015-02-15,2015-08-14,BOTHE-BRU,0.032311320000000004,1.0,-0.83962265,0.0
BONESUPPORT,https://www.crunchbase.com/organization/bonesupport,"Biotechnology, Health Care, Manufacturing, Medical, Medical Device, Wellness",Lund,Skane Lan,Sweden,$1M to $10M,2000-01-01,year,2017-06-29,day,,,169673174.0,USD,169673174.0,8.0,Lars Lindgren,1,51-100,,,IPO,327000000.0,SEK,36144334.0,Venture - Series Unknown,100192832.0,USD,100192832.0,1.0,Made Acquisitions,,,14.0,6.0,,Active,"BONESUPPORT is a medical technology company dedicated to the development of injectable osteoconductive biomaterials for the treatment of fragility fractures caused by osteoporosis, and bone voids or gaps caused by trauma, disease or related to surgical procedures. The company's mission is to restore health to enhance the quality of life for patients with bone disorders. BONESUPPORT was founded on 2000 and is headquartered in Lund, Sweden.",,17,,,,,,,Debt Financing,60000000.0,USD,60000000.0,2020-01-31,,,,,,,,,,,,Public,"2,899",24.27%,34.17%,186,274.76%,-46.25%,BONEX,https://www.crunchbase.com/ipo/bonesupport-ipo--56517a97,STO - Stockholm Stock Exchange,,,,57100000.0,USD,57100000.0,2017-06-29,"Kreos Capital, Industrifonden, HealthCap, SEB (Skandinaviska Enskilda Banken), Ferd Capital",,,,,,,,BONESUPPORT is a medical technology company that develops injectable osteoconductive biomaterials for the treatment of fragility fractures.,For Profit,0,6,,"Pharmaceutical, veterinary and sanitary products",13.0,,http://twitter.com/cerament,http://www.bonesupport.com,,http://www.linkedin.com/company/bonesupport-ab,info@bonesupport.com,"European Union (EU), Nordic Countries, Scandinavia",SE,BONEX-SE,BONESUPPORT HOLDING AB,2017-07-01,2017-12-26,2017-06-21,2017-07-01,2017-12-28,BONEX-OME,-0.35438600000000003,0.0,0.13333332,1.0
Boohoo,https://www.crunchbase.com/organization/boohoo-com,"E-Commerce, E-Commerce Platforms, Fashion, Information Technology, Lifestyle, Wearables",London,England,United Kingdom,$100M to $500M,2006-04-08,day,2014-03-21,day,,,50000000.0,GBP,63621406.0,1.0,"Carol Kane, Mahmud Kamani",2,1001-5000,,,IPO,50000000.0,GBP,63621406.0,Post-IPO Equity,50000000.0,GBP,63621406.0,5.0,Made Acquisitions,,,,,,Active,"boohoo is the global online fashion retailer offering thousands of styles across womenswear and menswear so that you stay ahead of the trends. Shop their huge range of women’s fashion items including dresses, tops, knitwear, coats, onesies, shoes, accessories.",,5,,,,,,,Post-IPO Equity,50000000.0,GBP,63621406.0,2017-06-08,,,,,,,,,,,,Public,"21,673,438",46.9%,-11.71%,383,-9.3%,-0.41%,BOO,https://www.crunchbase.com/ipo/boohoo-com-ipo--984c96a1,LSE - London Stock Exchange,,,,,,,2014-03-21,,,,,,,,,"Boohoo.com offers an online store that enables shoppers to choose and buy from a range of clothing, accessories, and footwear.",For Profit,0,57,,Clothing; footwear; headgear,51.0,1.0,http://twitter.com/boohoo,http://boohoo.com,http://www.facebook.com/boohoo.com,http://www.linkedin.com/company/857435,,,GB,BOO-GB,boohoo group Plc,2014-03-23,2014-09-17,2014-03-14,2014-03-23,2014-09-19,BOO-LON,-0.12399995999999999,0.0,3.4991998,1.0
Box,https://www.crunchbase.com/organization/box,"Cloud Computing, Enterprise Software, File Sharing, Flash Storage, SaaS, Web Hosting",Redwood City,California,United States,$500M to $1B,2005-01-01,year,2015-01-23,day,,,558950000.0,USD,558950000.0,12.0,"Aaron Levie, Dylan Smith, Jeff Queisser, Jeff Queisser, Sam Ghods",5,1001-5000,,,IPO,150000000.0,USD,150000000.0,Series G,558950000.0,USD,558950000.0,12.0,Made Acquisitions,,,24.0,6.0,1.0,Active,"Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls. After starting as a college business project in 2005, Box was officially launched in March of 2006 with the vision of connecting people, devices and networks. Box provides more than 8 million users with secure cloud content management and collaboration. They say their platform ""allows personal and commercial content to be accessible, sharable, and storable in any format from anywhere."" It also helps businesses of all sizes in every industry securely access and manages their critical information in the cloud. Box was founded in 2005 and is headquartered in Redwood City, California, United States.","Pledge 1%, Unicorn","10,072",,,,,,,Series G,150000000.0,USD,150000000.0,2014-07-01,,,,,,,,,,,,Public,"42,785,936",31.68%,14.42%,397,1.39%,-0.54%,BOX,https://www.crunchbase.com/ipo/box-ipo--ec9f9d4c,NYSE - New York Stock Exchange,1670000000.0,USD,1670000000.0,175000000.0,USD,175000000.0,2015-01-23,"General Atlantic, Telstra, Telefonica, Coatue Management, Andreessen Horowitz",,,,,,1.0,,"Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls.",For Profit,110,64,Computing; Calculating,Scientific and technological services,153.0,66.0,https://twitter.com/box,http://www.box.com,http://www.facebook.com/box,https://www.linkedin.com/company/box,sales@box.com,"San Francisco Bay Area, Silicon Valley, West Coast",US,BOX-US,"Box, Inc. Class A",2015-01-25,2015-07-22,2015-01-23,2015-01-25,2015-07-24,BOX-NYS,-0.29875153,0.0,-0.3680585,0.0
BrainChip,https://www.crunchbase.com/organization/brainchip-inc,"Artificial Intelligence, Robotics, Software",Aliso Viejo,California,United States,Less than $1M,2006-01-01,year,2011-11-18,day,,,27841613.0,USD,27841613.0,3.0,"Peter Van Der Made, Peter Van Der Made",2,11-50,,,IPO,21500000.0,USD,21500000.0,Post-IPO Equity,27841613.0,USD,27841613.0,1.0,Made Acquisitions,,,1.0,,,Active,"BrainChip Holdings Limited, formerly Aziana Limited, is an Australia-based company, which is engaged in the development of neural computing technology. The Company focuses on its spiking neuron adaptive processor (SNAP) technology and licensing the SNAP technology with technology partners. The Company operates through the technological development of designs segment. The Company's SNAP offer a complete development solution for companies entering the neuromorphic semiconductor chip market. SNAP is a core enabling technology in Neuromorphic semiconductor chips that possesses various applications, such as gaming, cyber security, robotic technology and stock market forecasting, among others. SNAP also implements learning rules in hardware, enabling autonomous features extraction (AFE) directly from input data without the need for any software processing. Its subsidiaries include BrainChip Inc., AZK Merger Subsidiary Inc., Aziana Exploration Corporation and Eternal Resources Pty Ltd.",,2,,,,,,,Post-IPO Equity,21500000.0,USD,21500000.0,2017-10-31,,,,,,,,,,,,Public,"6,824",50.4%,-0.95%,180,-6.28%,11.61%,BRN,https://www.crunchbase.com/ipo/brainchip-inc-ipo--b4b0056a,ASX - Australian Securities Exchange,,,,,,,2011-11-18,Metals X,,,,,,,,Leading provider of software and hardware accelerated  solutions for Advanced Artificial Intelligence and Machine Learning applications.,For Profit,3,3,Computing; Calculating,Scientific and electric apparatus and instruments,12.0,,,http://www.brainchipinc.com/,,,lguerrant@guerrantir.com,"Greater Los Angeles Area, West Coast, Western US",AU,BRN-AU,BrainChip Holdings Ltd.,2011-11-20,2012-05-16,2011-11-09,2011-11-20,2012-05-18,BRN-ASX,-0.19565231,0.0,-0.7841458,0.0
Brainpad,https://www.crunchbase.com/organization/brainpad,"Analytics, Information Technology, SEO, Service Industry",Minato,Chiba,Japan,,2004-03-18,day,2011-10-07,day,,,72000000.0,JPY,635391.0,2.0,Seinosuke Sato,1,,,,IPO,32000000.0,JPY,296204.0,Seed,72000000.0,JPY,635391.0,,,,,1.0,,2.0,Active,,,,,,,,,,Seed,32000000.0,JPY,296204.0,2008-06-18,,,,,,,,,,,,Public,"23,842",63.45%,9.74%,116,5.58%,4.24%,3655,https://www.crunchbase.com/ipo/brainpad-ipo--2fb0ebc1,TYO - Tokyo Stock Exchange,,,,,,,2011-10-07,Takashi Kusano,,,,,,2.0,,Brainpad is a provider of analytic services for corporations.,,,,,,15.0,,https://www.twitter.com/brainpad_pr,http://www.brainpad.co.jp,https://www.facebook.com/brainpad,,,Asia-Pacific (APAC),JP,3655-JP,BrainPad Inc.,2011-10-09,2012-04-04,2011-09-22,2011-10-09,2012-04-06,3655-TKS,0.28601765,1.0,5.246774,1.0
BrainStorm Cell Therapeutics,https://www.crunchbase.com/organization/brainstorm-cell-therapeutics,"Biotechnology, Health Care, Medical, Therapeutics",New York,New York,United States,Less than $1M,2004-01-01,year,2003-11-07,day,,,36528019.0,USD,36528019.0,7.0,Daniel Offen,1,11-50,,,IPO,10500000.0,USD,10500000.0,Post-IPO Equity,12132689.0,USD,12132689.0,,,,,4.0,3.0,,Active,"BrainStorm Cell Therapeutics (OTC.QB: BCLI) is a biotechnology company developing innovative, autologous stem cell therapies for highly debilitating neurodegenerative diseases such as Amyotrophic Lateral Sclerosis (ALS, also known as Lou Gehrig's disease), Multiple Sclerosis (MS) and Parkinson’s Disease (PD). NurOwn™ , our proprietary, first-of-its-kind technology for the propagation and differentiation of autologous Mesenchymal Stem Cells (MSCs) into NeuroTrophic Factor (NTF)-secreting cells and their transplantation at or near the site of damage, offers the hope of conquering neurodegenerative diseases. We are currently conducting a Phase IIa ALS clinical trial with NurOwn at the Hadassah University Medical Center in Jerusalem.  In this safety and preliminary efficacy trial, 12 patients will receive combined intramuscular and intrathecal administration of NurOwn cells in three cohorts with increasing doses. The study participants will be followed for three to six months after transplantation. The company also plans to begin a Phase II clinical trial in the USA in 2013, pending FDA approval. In February 2011, NurOwn was granted Orphan Drug designation by the FDA.  Over 20 publications in leading scientific journals demonstrating NurOwn's mechanism of action, pharmacology and in vivo efficacy have been published by the scientific team.",,42,,,,,,,Grant,495330.0,USD,495330.0,2019-11-14,,,,,,,,,,,,Public,"5,084",47.59%,-29.94%,151,-9.66%,10.89%,BCLI,https://www.crunchbase.com/ipo/brainstorm-cell-therapeutics-ipo--10218c6b,NASDAQ,,,,,,,2003-11-07,"Israel Innovation Authority, Brazilian Ministry of Health, National Multiple Sclerosis Society (NMSS), California Institute for Regenerative Medicine",,,,,,,,BrainStorm Cell Therapeutics  is a biotechnology company developing autologous stem cell therapies for neurodegenerative diseases.,,,,,,17.0,,http://twitter.com/BrainStormCell,http://www.brainstorm-cell.com,http://www.facebook.com/BrainStormCell,http://www.linkedin.com/company/2665125,info@brainstorm-cell.com,"Greater New York Area, East Coast, Northeastern US",US,BCLI-US,Brainstorm Cell Therapeutics Inc.,2003-11-09,2004-05-05,2003-05-14,2003-11-09,2004-05-07,BCLI-NAS,-0.28749996,0.0,-0.52499954,0.0
Brainsway,https://www.crunchbase.com/organization/brainsway,"Biotechnology, Health Care, Life Science",Jerusalem,Yerushalayim,Israel,$1M to $10M,2003-01-01,year,2019-04-16,day,,,20295695.0,USD,20295695.0,3.0,"Avner Hagai, Avraham Zangen, David Zacut, Yiftach Roth",4,51-100,,,IPO,30000000.0,ILS,8495695.0,Post-IPO Equity,20295695.0,USD,20295695.0,,,,,3.0,1.0,,Active,"Brainsway's patented breakthrough technology launches a new era in brain disorder treatment. A non-invasive, yet highly effective solution, Brainsway can make a difference in the wellbeing and health of millions of patients worldwide. Brainsway's technology releases millions of patients from a bleak cycle of insufficiently effective treatments and unpleasant side effects. Brainsway's treatment was approved by the FDA for Major Depressive Disorder patients*. The technology is also safe, with no systemic effects or long-term side effects, and highly convenient, requiring only brief daily sessions over a couple of weeks. Brainsway's technology has already been applied in thousands of cases worldwide in the framework of clinical studies. It has also been enthusiastically embraced by leading research institutions worldwide, with over 60 clinical trials performed. Brainsway technology is based on a patent registered by the U.S. National Institutes of Health (NIH). Brainsway is dedicated to research and continuously explores treatments for a variety of brain disorders.",,26,,,,,,,Post-IPO Equity,30000000.0,ILS,8495695.0,2017-12-11,,,,,,,,,,,,Public,"18,758",63.68%,2.36%,113,-26.54%,2.11%,BWAY,https://www.crunchbase.com/ipo/brainsway-ipo--45b4b342,NASDAQ,119000000.0,USD,119000000.0,28000000.0,USD,28000000.0,2019-04-16,"Phoenix Insurance Company, Yelin Lapidot Investment House, IBI Investment House",,,,,,,,Brainsway's patented breakthrough technology launches a new era in brain disorder treatment.,,21,2,Medical Or Veterinary Science; Hygiene,Medical apparatus and instruments,18.0,,http://twitter.com/Brainsway,http://www.brainsway.com,https://www.facebook.com/brainswaydeeptms,http://www.linkedin.com/company/3253269,info@brainsway.com,,US,BWAY-US,Brainsway Ltd Sponsored ADR,2019-04-18,2019-10-13,2019-04-17,2019-04-18,2019-10-15,BWAY-NAS,-0.204,0.0,-0.1022222,0.0
Brand24,https://www.crunchbase.com/organization/brand24,"Lead Generation, Market Research, Marketing, Public Relations, Reputation, Social CRM, Social Media",Warsaw,Mazowieckie,Poland,Less than $1M,2011-04-02,day,2018-01-01,day,,,3800000.0,PLN,965762.0,3.0,"Karol Wnukiewicz, Michał Sadowski, Mike Sadowski",3,11-50,,,IPO,1540000.0,PLN,396912.0,Venture - Series Unknown,3800000.0,PLN,965762.0,,,,,4.0,2.0,,Active,"Brand24 is a social CRM and Internet monitoring platform. It collects real-time social data from across the Web to empower you to keep track of online conversations and comments made about your brand and products. Brand24 allows you to interact with customers, manage your reputation, gather valuable consumer insights, measure the impact of marketing and improve sales.",,10,,,,,,,Venture - Series Unknown,1540000.0,PLN,396912.0,2016-05-06,,,,,,,,,,,,Public,"161,696",59.49%,9.5%,279,20.75%,1.84%,B24,https://www.crunchbase.com/ipo/brand24-ipo--94eaa18a,WSE - Warsaw Stock Exchange,,,,,,,2018-01-01,"Inovo Venture Partners, Venture Inc S.A., Szymon Klimczak, Bartosz Olchówka",,,,,,,,Instant access to online mentions relevant to your business,For Profit,0,4,,Telecommunications,26.0,1.0,http://twitter.com/brand24,https://brand24.com,https://www.facebook.com/brand24,https://www.linkedin.com/company/2890993,iza@brand24.com,European Union (EU),PL,B24-PL,Brand 24 SA,2018-01-03,2018-06-30,2018-01-30,2018-01-30,2018-07-29,B24-WAR,-0.20502089999999998,0.0,-0.6129707,0.0
Brave Bison,https://www.crunchbase.com/organization/rightster,"Content Creators, Content Delivery Network, Content Discovery, Content Syndication, Digital Media, Video, Video on Demand, Video Streaming",London,England,United Kingdom,,2011-05-01,day,2013-11-12,day,,,,,,1.0,"Charlie Muirhead, Sumit Gupta, Tabitha Goldstaub",3,101-250,,,IPO,,,,Venture - Series Unknown,,,,4.0,Made Acquisitions,,,1.0,,,Active,"Rightster simplifies the distribution of live and on-demand video to TV-scale audiences in the fragmented world of online video with an 'upload once commercialise anywhere' cloud based software platform. Following the acquisitions of Base79 and Viral Spiral in the summer of 2014, Rightster’s network now stands at over 1,950 content owners and over 7,500 online publishers. Rightster has 229 staff across 11 offices in 10 countries around the world.",,60,,,,,,,Venture - Series Unknown,,,,2013-11-20,,,,,,,,,,,,Public,,,-100%,,,,BBSN,https://www.crunchbase.com/ipo/rightster-ipo--d5797684,LSE - London Stock Exchange,,,,20400000.0,USD,20400000.0,2013-11-12,Sports Investment Partners,,,,,,,,"Rightster, the cloud-based video distribution and monetisation network.",For Profit,0,3,,Scientific and electric apparatus and instruments,5.0,1.0,http://twitter.com/rightster,http://www.rightster.com,http://www.facebook.com/pages/Rightster/117515691642512,http://www.linkedin.com/company/rightster,help@bravebison.io,,GB,BBSN-GB,Brave Bison Group Plc,2013-11-14,2014-05-11,2013-11-12,2013-11-14,2014-05-13,BBSN-LON,0.16541350000000002,1.0,-0.9827067599999999,0.0
BridgeBio,https://www.crunchbase.com/organization/bridgebio,"Biotechnology, Life Science, Medical",Palo Alto,California,United States,$10M to $50M,2014-01-01,year,2019-06-26,day,,,949200000.0,USD,949200000.0,5.0,Neil Kumar,1,101-250,2.0,2.0,IPO,299200000.0,USD,299200000.0,Series D,474200000.0,USD,474200000.0,,,,,9.0,2.0,5.0,Active,BridgeBio is a company that focuses on genetic disease therapies and develops those assets with the right approach in supporting R&D.,,8,,,,,,,Post-IPO Debt,475000000.0,USD,475000000.0,2020-03-04,,,,,,,,,,,,Public,"6,095",36.71%,20.5%,124,11.94%,-1.77%,BBIO,https://www.crunchbase.com/ipo/bridgebio-ipo--296d3185,NASDAQ,2039999439.0,USD,2039999439.0,368000000.0,USD,368000000.0,2019-06-26,"Kohlberg Kravis Roberts, Sequoia Capital, Hercules Capital, Inc., Viking Global Investors, Perceptive Advisors",,,,,,4.0,2.0,BridgeBio is a company that focuses on genetic disease therapies and develops those assets with the right approach in supporting R&D.,For Profit,,,,,17.0,,,http://bridgebio.com/,,https://www.linkedin.com/company/6824982/,pr@bridgebio.com,"San Francisco Bay Area, Silicon Valley, West Coast",US,BBIO-US,"BridgeBio Pharma, Inc.",2019-06-28,2019-12-23,2019-06-27,2019-06-28,2019-12-25,BBIO-NAS,0.6870598,1.0,0.07230258,1.0
Bridgewater Bank,https://www.crunchbase.com/organization/bridgewater-bank,"Banking, Finance, Financial Services, Real Estate",Bloomington,Minnesota,United States,$10M to $50M,2005-01-01,year,2018-03-05,day,,,25000000.0,USD,25000000.0,1.0,Jerry Baack,1,101-250,,,IPO,25000000.0,USD,25000000.0,Venture - Series Unknown,25000000.0,USD,25000000.0,,,,,,,,Active,"Bridgewater Bank was created from the idea that the best bank to serve a successful and energized group of clients would be one that was built by experienced bankers with an entrepreneurial perspective. While They pride ourselves on our expertise in real estate, you don’t have to be a real estate investor or an entrepreneur to appreciate our responsive service, dedicated support and unconventional attitude. With a wide range of deposit and lending products, They can certainly meet the needs of anyone looking for an alternative to conventional banking. At Bridgewater, you will enjoy dealing directly with professional bankers whose first priority is to serve you. Bridgewater Bank may not look like a traditional community bank, but through extensive networking, we focus on building communities.",,5,,,,,,,Venture - Series Unknown,25000000.0,USD,25000000.0,2017-07-24,,,,,,,,,,,,Public,"5,481",28.58%,13.41%,251,46.77%,9.83%,BWB,https://www.crunchbase.com/ipo/bridgewater-bank-ipo--3785501c,NASDAQ,,,,79000000.0,USD,79000000.0,2018-03-05,,,,,,,,,Bridgewater Bank is a full-service commercial bank. Bridgewater Bank is a full-service commercial bank.,For Profit,,,,,,,,https://www.bridgewaterbankmn.com/,,https://www.linkedin.com/company-beta/336386/,Bankmail@bridgewaterbankmn.com,"Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",US,BWB-US,"Bridgewater Bancshares, Inc.",2018-03-07,2018-09-01,2018-03-14,2018-03-14,2018-09-10,BWB-NAS,0.034072876,1.0,-0.061014233,0.0
